INFLOWS,OUTFLOWS,debt_outflows,di_outflows,debt_inflows,di_inflows,equity_outflows,equity_inflows,portfolio_outflows,portfolio_inflows,reserve_flows,NETFLOWS,GPRC,GPRHC
-0.135000005364418,-0.2339999973773956,0.0,-0.011,0.039,0.1,0.0,0.0,0.0,0.039,0.5579,0.0989999920129776,,
-0.06199999898672104,0.4169999957084656,0.0,-0.005,-0.033,0.034,0.0,0.0,0.0,-0.033,0.416,-0.4790000021457672,,
-0.4650000035762787,0.1099999994039536,0.0,-0.006,0.043,0.064,0.0,0.0,0.0,0.043,-0.2971,-0.574999988079071,,
0.7279000282287598,-0.2809999883174896,0.0,-0.009000000000000001,-0.052,0.088,0.0,0.0,0.0,-0.052,0.9489,1.008900046348572,,
0.7139999866485596,-0.3779999911785126,0.0,-0.007,0.176,-0.035,0.0,0.0,0.0,0.176,1.5563,1.092000007629395,,
1.248000025749207,0.1979999989271164,0.0,-0.019,0.049,0.067,0.0,0.0,0.0,0.049,1.082,1.050000071525574,,
1.134999990463257,-0.09399999678134918,0.0,-0.024,0.049,0.08600000000000001,0.0,0.0,0.0,0.049,0.7094,1.228999972343445,,
1.168499946594238,-0.1099999994039536,0.0,-0.02,0.07100000000000001,0.125,0.0,0.0,0.0,0.07100000000000001,0.4371,1.278499960899353,,
-0.9769999980926514,-0.1059999987483025,0.0,-0.022,-0.023,0.218,0.0,0.0,0.0,-0.023,-1.7641,-0.8709999918937683,,
1.715999960899353,0.02899999916553497,0.0,-0.034,0.079,0.095,0.0,0.0,0.0,0.079,0.3443,1.686999917030334,,
0.8009999990463257,0.5170000195503235,0.0,-0.034,0.027,0.24,0.0,0.0,0.0,0.027,-1.5417,0.2839999794960022,,
-1.258800029754639,0.2770000100135803,0.0,-0.013,0.269,0.355,0.0,0.0,0.0,0.269,-2.7759,-1.535799980163574,,
0.8629999756813049,0.2630000114440918,0.0,-0.042,0.193,0.289,0.0,0.0,0.0,0.193,0.221,0.5999999642372131,,
1.148000001907349,0.7049999833106995,0.0,-0.028,0.284,0.083,0.0,0.0,0.0,0.284,0.0029,0.4430000185966492,,
2.170000076293945,0.2529999911785126,0.0,-0.024,0.379,0.11,0.0,0.0,0.0,0.379,-0.5722,1.91700005531311,,
0.03599999845027924,-0.3300000131130219,0.0,-0.026,0.115,0.06,0.0,0.0,0.0,0.115,0.0285,0.3659999966621399,,
-1.498000025749207,0.6460000276565552,0.0,-0.004,0.131,0.103,0.0,0.0,0.0,0.131,-0.2194,-2.144000053405762,,
0.03500000014901161,-0.1689999997615814,0.0,0.0,0.052,0.019,0.0,0.0,0.0,0.052,0.0986,0.2039999961853027,,
